Domain,Page URL,Fund Name/Ticker,Record Date,Ex Date,Payble Date,Reinvest Date,Ordinary Income,ST Cap Gains,LT Cap Gains,Total Distribution,Reinvest Nav/Price,Class Name,Income/Amount/Share/Dividend,YEAR,Annual Distribution Rate* (%),Period,Investment Income,Return of Capital,Capital Gains,Rate,Year End NAV
www.heartlandadvisors.com,https://www.heartlandadvisors.com/Products/Mutual-Funds/Heartland-Value-Fund,Value,12/28/2020,,12/29/2020,,,-,0.18973,,,"
		Institutional Class",0.19383,,,,,,,,
www.heartlandadvisors.com,https://www.heartlandadvisors.com/Products/Mutual-Funds/Heartland-Value-Fund,Value,12/26/2019,,12/27/2019,,,-,1.09276,,,"
		Institutional Class",0.17769,,,,,,,,
www.heartlandadvisors.com,https://www.heartlandadvisors.com/Products/Mutual-Funds/Heartland-Value-Fund,Value,12/27/2018,,12/28/2018,,,0.28550,2.09926,,,"
		Institutional Class",0.13454,,,,,,,,
www.heartlandadvisors.com,https://www.heartlandadvisors.com/Products/Mutual-Funds/Heartland-Value-Fund,Value,12/27/2017,,12/28/2017,,,-,2.60800,,,"
		Institutional Class",0.12267,,,,,,,,
www.heartlandadvisors.com,https://www.heartlandadvisors.com/Products/Mutual-Funds/Heartland-Value-Fund,Value,12/28/2016,,12/29/2016,,,-,1.43802,,,"
		Institutional Class",-,,,,,,,,
www.heartlandadvisors.com,https://www.heartlandadvisors.com/Products/Mutual-Funds/Heartland-Value-Fund,Value,12/28/2015,,12/29/2015,,,-,2.82914,,,"
		Institutional Class",0.20977,,,,,,,,
www.heartlandadvisors.com,https://www.heartlandadvisors.com/Products/Mutual-Funds/Heartland-Value-Fund,Value,12/29/2014,,12/30/2014,,,1.11429,4.12240,,,"
		Institutional Class",0.30599,,,,,,,,
www.heartlandadvisors.com,https://www.heartlandadvisors.com/Products/Mutual-Funds/Heartland-Value-Fund,Value,12/26/2013,,12/27/2013,,,1.17103,3.98433,,,"
		Institutional Class",0.50608,,,,,,,,
www.heartlandadvisors.com,https://www.heartlandadvisors.com/Products/Mutual-Funds/Heartland-Value-Fund,Value,12/26/2012,,12/27/2012,,,0.17740,2.74405,,,"
		Institutional Class",-,,,,,,,,
www.heartlandadvisors.com,https://www.heartlandadvisors.com/Products/Mutual-Funds/Heartland-Value-Fund,Value,12/28/2011,,12/29/2011,,,0.675954,1.798273,,,"
		Institutional Class",-,,,,,,,,
