Domain,Page URL,Fund Name/Ticker,Record Date,Ex Date,Payble Date,Reinvest Date,Ordinary Income,ST Cap Gains,LT Cap Gains,Total Distribution,Reinvest Nav/Price,Class Name,Income/Amount/Share/Dividend,YEAR,Annual Distribution Rate* (%),Period,Investment Income,Return of Capital,Capital Gains,Rate,Year End NAV
www.homesteadfunds.com,https://www.homesteadfunds.com/our-funds/growth-fund/,https://www.homesteadfunds.com/our-funds/growth-fund/,12/16/20,,12/17/20,,,,$0.5295,,,,,,,,,,,,
www.homesteadfunds.com,https://www.homesteadfunds.com/our-funds/growth-fund/,https://www.homesteadfunds.com/our-funds/growth-fund/,12/16/20,,12/17/20,,,$0.0752,,,,,,,,,,,,,
www.homesteadfunds.com,https://www.homesteadfunds.com/our-funds/growth-fund/,https://www.homesteadfunds.com/our-funds/growth-fund/,6/29/21,,6/30/21,,,,$0.1844,,,,,,,,,,,,
www.homesteadfunds.com,https://www.homesteadfunds.com/our-funds/growth-fund/,https://www.homesteadfunds.com/our-funds/growth-fund/,6/29/21,,6/30/21,,,$0.0643,,,,,,,,,,,,,
www.homesteadfunds.com,https://www.homesteadfunds.com/our-funds/growth-fund/,https://www.homesteadfunds.com/our-funds/growth-fund/,6/30/20,,6/30/20,,,,$0.132,,,,,,,,,,,,
www.homesteadfunds.com,https://www.homesteadfunds.com/our-funds/stock-index-fund/,https://www.homesteadfunds.com/our-funds/stock-index-fund/,12/16/20,,12/17/20,,,,,,,,$0.3103,,,,,,,,
www.homesteadfunds.com,https://www.homesteadfunds.com/our-funds/stock-index-fund/,https://www.homesteadfunds.com/our-funds/stock-index-fund/,12/16/20,,12/17/20,,,$0.0053,,,,,,,,,,,,,
www.homesteadfunds.com,https://www.homesteadfunds.com/our-funds/stock-index-fund/,https://www.homesteadfunds.com/our-funds/stock-index-fund/,6/29/21,,6/30/21,,,,,,,,$0.0093,,,,,,,,
www.homesteadfunds.com,https://www.homesteadfunds.com/our-funds/stock-index-fund/,https://www.homesteadfunds.com/our-funds/stock-index-fund/,6/29/21,,6/30/21,,,$0.0717,,,,,,,,,,,,,
www.homesteadfunds.com,https://www.homesteadfunds.com/our-funds/stock-index-fund/,https://www.homesteadfunds.com/our-funds/stock-index-fund/,6/30/20,,6/30/20,,,,$0.0743,,,,,,,,,,,,
